model,mode,embed_model,gpt_model,sections,embeds,accuracy,precision,recall,f1,roc_auc,hold_accuracy,hold_precision,hold_recall,hold_f1,hold_roc_auc,file
rf,basic,SFR-Embedding-Mistral,gpt4,all,refute,0.911980277185501,0.7566334991708127,0.7663188871054039,0.7127474585339754,0.907035848047084,0.591487694795367,0.23447798934814248,0.2520182249706518,0.24761295676182726,0.6385498245329879,basic_SFR-Embedding-Mistral_gpt4_embeddings.csv
knn,basic,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.7786513859275054,0.7330016583747927,0.6546950240770466,0.7117442482611022,0.8683119315141787,0.44787644787644787,0.19258949443179363,0.19251382902325265,0.24779182453873197,0.5368998026914522,basic_SFR-Embedding-Mistral_gpt4_embeddings.csv
knn,basic,SFR-Embedding-Mistral,gpt4,all,support,0.746202025586354,0.7251243781094527,0.6286784376672017,0.7176966292134831,0.8800829320492242,0.3806536127964699,0.18571908666070625,0.16841858720854164,0.2335037153525659,0.5768373086671481,basic_SFR-Embedding-Mistral_gpt4_embeddings.csv
knn,basic,SFR-Embedding-Mistral,gpt4,all,refute,0.7619269722814499,0.6877418463239358,0.7577581594435527,0.695024077046549,0.8056447298020333,0.4463846963846964,0.1697294303109884,0.22255092547819486,0.2802310600665536,0.5732532392767492,basic_SFR-Embedding-Mistral_gpt4_embeddings.csv
logistic,inprompt,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.8916577825159915,0.7755666113875069,0.7592295345104334,0.7711342964151953,0.9431514178705189,0.6726908987587149,0.23608024867019747,0.29369791227167735,0.3833234380130345,0.7334360409153737,inprompt_SFR-Embedding-Mistral_gpt35_embeddings.csv
logistic,inprompt,SFR-Embedding-Mistral,gpt35,all,support,0.8793976545842217,0.8307075732448868,0.7617710005350454,0.7997592295345104,0.9291064740502943,0.6371757787455693,0.289164406404557,0.34400516818367777,0.4572954129379464,0.7714256491589075,inprompt_SFR-Embedding-Mistral_gpt35_embeddings.csv
logistic,inprompt,SFR-Embedding-Mistral,gpt35,all,refute,0.7421375266524521,0.6174682144831398,0.6292803638309257,0.7015783841626538,0.8324638844301766,0.22329184494722262,0.14432826823249922,0.20681717572272487,0.2230213808956396,0.46915130553420215,inprompt_SFR-Embedding-Mistral_gpt35_embeddings.csv
rf,inprompt,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.8532782515991472,0.8151603095632945,0.7556179775280899,0.8145398608881755,0.9010165864098448,0.5529997249417421,0.28284415479142844,0.320942370437349,0.4027520064133855,0.6155241334965901,inprompt_SFR-Embedding-Mistral_gpt35_embeddings.csv
rf,inprompt,SFR-Embedding-Mistral,gpt35,all,support,0.8636727078891259,0.7755666113875068,0.734951845906902,0.8323301230604603,0.9129213483146067,0.6025041768362913,0.2045049105166153,0.28642591578157667,0.39419438391732337,0.7084790297397393,inprompt_SFR-Embedding-Mistral_gpt35_embeddings.csv
rf,inprompt,SFR-Embedding-Mistral,gpt35,all,refute,0.716950959488273,0.6311498065229408,0.5617308721241304,0.678705189941145,0.7754146602461209,0.1532449015391042,0.12497770672085547,0.10580180215202607,0.14056757354977306,0.18063213306924455,inprompt_SFR-Embedding-Mistral_gpt35_embeddings.csv
knn,inprompt,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.7585287846481876,0.6200248756218906,0.6427902621722846,0.7796950240770465,0.8953986088817549,0.39118989118989117,0.14938365083782212,0.1791693985776478,0.3323530018710103,0.47252984998142383,inprompt_SFR-Embedding-Mistral_gpt35_embeddings.csv
knn,inprompt,SFR-Embedding-Mistral,gpt35,all,support,0.6531183368869936,0.6765478164731895,0.69348582129481,0.7266586409844837,0.8844970572498663,0.23342985842985842,0.16370394849040446,0.23462381105269092,0.3166098234335107,0.5932045522189956,inprompt_SFR-Embedding-Mistral_gpt35_embeddings.csv
knn,inprompt,SFR-Embedding-Mistral,gpt35,all,refute,0.626865671641791,0.6310116086235489,0.5821294810058856,0.6564339218833601,0.7506688068485821,0.27391677391677394,0.1271519930947897,0.12654797135426676,0.19300525140718844,0.31111932060959974,inprompt_SFR-Embedding-Mistral_gpt35_embeddings.csv
logistic,rag,ember-v1,gpt35,WP,all_embeds,0.8094250967385296,0.7526257600884466,0.735553772070626,0.7489299090422687,0.8249063670411986,0.43048013591300255,0.270610076029633,0.32351656680403107,0.41699993934233465,0.38531022041576407,rag_ember-v1_gpt35_WP_embeddings.csv
logistic,rag,ember-v1,gpt35,WP,support,0.8279436152570481,0.7629906025428415,0.7090690208667737,0.7300695559122525,0.7895933654360621,0.44431126290501466,0.32620317826419215,0.2939766798441664,0.3771215720616963,0.3410222996764341,rag_ember-v1_gpt35_WP_embeddings.csv
logistic,rag,ember-v1,gpt35,WP,refute,0.529228855721393,0.564607517965727,0.5385232744783306,0.6427902621722846,0.5987158908507224,0.12903987571654468,0.20953844711447236,0.17726930831790916,0.24654485747648341,0.29924516077307495,rag_ember-v1_gpt35_WP_embeddings.csv
rf,rag,ember-v1,gpt35,WP,all_embeds,0.7922194582642345,0.8215865118850193,0.7703986088817549,0.6898073836276083,0.877207062600321,0.43699438337331664,0.2708544737920364,0.3099049221836607,0.3834491700924599,0.4981791060647597,rag_ember-v1_gpt35_WP_embeddings.csv
